Account: Account Name,Account: Type,Account: Phone,Contact: First Name,Contact: Last Name,Contact: Title,Contact: Phone,Contact: Email
Alpha Dynamics,Tech Partner,3362227000,Amy,Taylor,VP of Engineering,4152568563,amy@demo.net
Alpha Dynamics,Tech Partner,3362227001,Jennifer,Wu,CEO,4158521463,jennifer@demo.net
Alpha Dynamics,Tech Partner,3362227002,Caroline ,Kingsley,VP of Technology,4152223456,Caroline@demo.net
Madison Investments,Customer - Direct,7227003362,Michael,Jones,VP of Sales,4158526633,michael@demo.net
Madison Investments,Customer - Direct,7227003363,Anup,Gupta,VP of Products,4156667777,anup@demo.net
Madison Investments,Customer - Direct,7227003364,Jonathan,Bradley,VP of Operations,4145552222,jonathan@demo.net
Burlington Textiles,Customer - Direct,6179658855,,,,,
Genepoint,Customer - Direct,7819662255,,,,,
Openfloor Furniture,Customer - Direct,9782554185,,,,,
Express Logistics,Customer - Direct,6175289966,,,,,
